|   Estacion |   1998 |   1999 |   2000 |   2001 |   2002 |   2003 |   2004 |   2005 |   2006 |   2007 |   2008 |   2009 |   2010 |   2011 |   2012 |
|-----------:|-------:|-------:|-------:|-------:|-------:|-------:|-------:|-------:|-------:|-------:|-------:|-------:|-------:|-------:|-------:|
|     100_30 |      2 |      4 |      4 |      4 |      3 |      4 |      4 |      4 |      3 |      3 |      4 |      2 |      1 |      4 |      2 |
|     100_32 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      4 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |
|     100_35 |      1 |      4 |      4 |      4 |      3 |      3 |      4 |      4 |      3 |      2 |      2 |      2 |      2 |      4 |      2 |
|     100_40 |      3 |      3 |      4 |      4 |      4 |      4 |      3 |      4 |      3 |      2 |      3 |      2 |      1 |      4 |      2 |
|     100_45 |      3 |      3 |      4 |      4 |      4 |      4 |      2 |      4 |      3 |      3 |      4 |      2 |      2 |      4 |      2 |
|     100_50 |      3 |      4 |      4 |      4 |      4 |      3 |      1 |      4 |      3 |      3 |      4 |      2 |      1 |      4 |      2 |
|     100_55 |      1 |      3 |      4 |      4 |      4 |      3 |      2 |      4 |      3 |      3 |      3 |      2 |      1 |      3 |      2 |
|     100_60 |      0 |      3 |      4 |      4 |      4 |      3 |      3 |      4 |      3 |      2 |      4 |      2 |      1 |      4 |      1 |
|     100_65 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |
|     103_30 |      1 |      3 |      4 |      4 |      4 |      4 |      4 |      4 |      2 |      1 |      4 |      2 |      0 |      4 |      2 |
|     103_32 |      1 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     103_33 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      4 |      0 |      0 |      0 |      0 |      0 |      1 |      1 |
|     103_35 |      3 |      4 |      4 |      2 |      4 |      4 |      4 |      4 |      3 |      2 |      4 |      2 |      0 |      4 |      2 |
|     103_40 |      2 |      4 |      4 |      3 |      4 |      4 |      3 |      4 |      3 |      3 |      4 |      2 |      0 |      4 |      1 |
|     103_45 |      3 |      3 |      4 |      2 |      3 |      4 |      3 |      4 |      3 |      1 |      4 |      2 |      0 |      4 |      2 |
|     103_50 |      1 |      4 |      4 |      4 |      4 |      4 |      4 |      4 |      2 |      2 |      4 |      2 |      0 |      4 |      2 |
|     103_55 |      2 |      2 |      4 |      4 |      4 |      4 |      3 |      4 |      2 |      2 |      4 |      1 |      0 |      4 |      1 |
|     103_60 |      1 |      3 |      4 |      4 |      4 |      4 |      3 |      4 |      3 |      3 |      4 |      1 |      0 |      4 |      2 |
|     107_32 |      2 |      4 |      4 |      4 |      4 |      3 |      4 |      4 |      2 |      2 |      4 |      2 |      0 |      4 |      2 |
|     107_33 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     107_35 |      2 |      4 |      4 |      3 |      4 |      4 |      3 |      4 |      3 |      2 |      4 |      2 |      0 |      4 |      2 |
|     107_40 |      2 |      4 |      3 |      3 |      4 |      4 |      3 |      4 |      3 |      3 |      4 |      2 |      0 |      4 |      2 |
|     107_45 |      2 |      3 |      3 |      3 |      4 |      4 |      3 |      4 |      2 |      3 |      3 |      2 |      0 |      4 |      2 |
|     107_50 |      2 |      4 |      3 |      3 |      4 |      4 |      4 |      4 |      2 |      2 |      4 |      2 |      0 |      4 |      2 |
|     107_55 |      2 |      4 |      3 |      3 |      3 |      4 |      4 |      4 |      2 |      2 |      3 |      1 |      0 |      4 |      2 |
|     107_60 |      3 |      4 |      3 |      2 |      4 |      4 |      4 |      4 |      3 |      3 |      3 |      1 |      0 |      4 |      1 |
|     110_30 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 |
|     110_34 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     110_35 |      3 |      3 |      4 |      4 |      4 |      4 |      3 |      4 |      3 |      3 |      3 |      2 |      1 |      4 |      2 |
|     110_37 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     110_40 |      3 |      3 |      4 |      4 |      4 |      4 |      2 |      4 |      3 |      3 |      3 |      2 |      1 |      4 |      2 |
|     110_45 |      3 |      2 |      4 |      3 |      4 |      4 |      3 |      4 |      3 |      3 |      3 |      2 |      1 |      4 |      2 |
|     110_50 |      3 |      3 |      4 |      3 |      4 |      3 |      3 |      4 |      3 |      3 |      3 |      2 |      0 |      4 |      2 |
|     110_55 |      3 |      4 |      4 |      4 |      4 |      4 |      3 |      4 |      2 |      2 |      3 |      2 |      0 |      4 |      2 |
|     110_60 |      3 |      4 |      4 |      4 |      4 |      4 |      2 |      4 |      3 |      3 |      3 |      2 |      0 |      4 |      2 |
|     113_30 |      2 |      4 |      4 |      3 |      4 |      4 |      4 |      4 |      2 |      2 |      4 |      2 |      0 |      4 |      2 |
|     113_34 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     113_35 |      3 |      4 |      4 |      3 |      4 |      4 |      4 |      4 |      2 |      2 |      2 |      2 |      0 |      4 |      2 |
|     113_40 |      3 |      4 |      4 |      3 |      4 |      4 |      4 |      4 |      3 |      2 |      1 |      2 |      0 |      4 |      2 |
|     113_45 |      3 |      3 |      3 |      3 |      4 |      4 |      4 |      4 |      2 |      1 |      1 |      1 |      0 |      3 |      2 |
|     113_50 |      3 |      3 |      3 |      3 |      4 |      4 |      3 |      4 |      2 |      2 |      2 |      2 |      0 |      2 |      2 |
|     113_55 |      3 |      4 |      3 |      3 |      4 |      4 |      3 |      4 |      2 |      2 |      2 |      1 |      0 |      2 |      2 |
|     113_60 |      3 |      4 |      3 |      3 |      4 |      3 |      4 |      4 |      2 |      3 |      1 |      1 |      0 |      2 |      1 |
|     117_30 |      3 |      3 |      3 |      2 |      2 |      3 |      4 |      4 |      2 |      2 |      4 |      2 |      0 |      4 |      1 |
|     117_35 |      3 |      3 |      4 |      2 |      3 |      4 |      4 |      4 |      2 |      2 |      3 |      2 |      0 |      4 |      2 |
|     117_37 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     117_40 |      3 |      3 |      4 |      2 |      3 |      4 |      3 |      4 |      2 |      3 |      3 |      2 |      0 |      4 |      2 |
|     117_43 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     117_45 |      3 |      3 |      4 |      2 |      3 |      4 |      3 |      3 |      1 |      2 |      3 |      2 |      0 |      4 |      2 |
|     117_50 |      3 |      3 |      4 |      2 |      4 |      4 |      4 |      3 |      2 |      2 |      2 |      2 |      0 |      4 |      1 |
|     117_55 |      3 |      3 |      4 |      2 |      3 |      3 |      3 |      3 |      2 |      2 |      2 |      2 |      0 |      3 |      2 |
|     117_60 |      3 |      3 |      4 |      2 |      3 |      4 |      4 |      3 |      2 |      3 |      2 |      1 |      0 |      3 |      1 |
|     117_65 |      3 |      3 |      4 |      2 |      3 |      4 |      4 |      2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     117_70 |      3 |      3 |      4 |      2 |      4 |      4 |      3 |      2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     117_75 |      1 |      3 |      4 |      3 |      4 |      4 |      4 |      2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     117_80 |      0 |      3 |      4 |      3 |      3 |      4 |      4 |      3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     119_30 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |
|     119_33 |      3 |      4 |      3 |      3 |      2 |      4 |      4 |      4 |      3 |      3 |      3 |      1 |      0 |      4 |      2 |
|     120_30 |      3 |      4 |      4 |      3 |      3 |      4 |      4 |      4 |      3 |      2 |      3 |      1 |      2 |      3 |      2 |
|     120_35 |      3 |      4 |      4 |      3 |      3 |      4 |      4 |      4 |      3 |      2 |      2 |      2 |      1 |      4 |      2 |
|     120_39 |      0 |      0 |      0 |      0 |      2 |      4 |      4 |      4 |      3 |      2 |      1 |      0 |      2 |      3 |      1 |
|     120_40 |      3 |      4 |      4 |      1 |      2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     120_43 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     120_45 |      3 |      3 |      4 |      3 |      4 |      4 |      4 |      4 |      3 |      2 |      2 |      2 |      1 |      4 |      2 |
|     120_50 |      3 |      3 |      4 |      3 |      4 |      4 |      4 |      3 |      3 |      2 |      2 |      2 |      1 |      3 |      2 |
|     120_55 |      3 |      4 |      4 |      3 |      4 |      4 |      4 |      4 |      3 |      2 |      2 |      2 |      1 |      3 |      1 |
|     120_60 |      3 |      4 |      4 |      3 |      4 |      4 |      4 |      4 |      3 |      2 |      2 |      2 |      2 |      3 |      2 |
|     120_65 |      3 |      2 |      4 |      3 |      4 |      4 |      4 |      3 |      0 |      0 |      0 |      0 |      1 |      0 |      0 |
|     120_70 |      3 |      2 |      4 |      3 |      4 |      4 |      4 |      3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     120_75 |      1 |      2 |      4 |      3 |      4 |      3 |      4 |      3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     120_80 |      0 |      2 |      4 |      3 |      4 |      3 |      4 |      3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     123_41 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     123_42 |      2 |      3 |      3 |      3 |      3 |      4 |      4 |      4 |      3 |      3 |      2 |      2 |      0 |      4 |      2 |
|     123_45 |      3 |      2 |      4 |      2 |      3 |      4 |      4 |      4 |      3 |      2 |      2 |      2 |      0 |      3 |      2 |
|     123_47 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     123_50 |      2 |      3 |      4 |      3 |      3 |      4 |      4 |      4 |      2 |      2 |      3 |      2 |      0 |      3 |      2 |
|     123_55 |      3 |      2 |      4 |      3 |      3 |      4 |      4 |      4 |      2 |      2 |      3 |      2 |      0 |      3 |      2 |
|     123_60 |      3 |      2 |      2 |      3 |      3 |      4 |      4 |      4 |      3 |      2 |      3 |      2 |      0 |      2 |      1 |
|     127_34 |      2 |      2 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     127_35 |      1 |      1 |      3 |      3 |      3 |      4 |      4 |      4 |      2 |      2 |      2 |      2 |      0 |      4 |      2 |
|     127_36 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     127_40 |      3 |      3 |      4 |      2 |      3 |      4 |      2 |      3 |      3 |      3 |      2 |      2 |      0 |      2 |      2 |
|     127_45 |      3 |      3 |      3 |      2 |      3 |      4 |      4 |      3 |      2 |      2 |      2 |      2 |      0 |      4 |      2 |
|     127_50 |      3 |      2 |      4 |      2 |      3 |      4 |      4 |      3 |      1 |      2 |      1 |      2 |      0 |      3 |      1 |
|     127_55 |      3 |      2 |      4 |      2 |      3 |      4 |      4 |      3 |      0 |      2 |      0 |      0 |      0 |      2 |      1 |
|     127_60 |      2 |      2 |      4 |      2 |      3 |      4 |      4 |      4 |      2 |      2 |      0 |      0 |      0 |      1 |      1 |
|     130_30 |      2 |      3 |      4 |      3 |      3 |      4 |      4 |      3 |      2 |      2 |      3 |      2 |      1 |      3 |      2 |
|     130_35 |      2 |      3 |      3 |      3 |      2 |      4 |      4 |      4 |      2 |      2 |      3 |      2 |      1 |      3 |      2 |
|     130_37 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     130_40 |      2 |      3 |      4 |      3 |      2 |      4 |      4 |      3 |      2 |      2 |      3 |      2 |      1 |      2 |      2 |
|     130_45 |      2 |      3 |      2 |      2 |      2 |      3 |      4 |      3 |      3 |      1 |      2 |      1 |      2 |      2 |      1 |
|     130_50 |      1 |      3 |      4 |      3 |      3 |      3 |      3 |      4 |      3 |      1 |      1 |      0 |      1 |      2 |      2 |
|     130_55 |      2 |      3 |      3 |      2 |      2 |      3 |      3 |      3 |      2 |      2 |      1 |      0 |      1 |      2 |      1 |
|     130_60 |      1 |      3 |      4 |      3 |      2 |      3 |      3 |      4 |      2 |      2 |      1 |      0 |      1 |      1 |      1 |
|     133_25 |      0 |      2 |      3 |      3 |      1 |      3 |      2 |      2 |      2 |      2 |      3 |      2 |      0 |      4 |      1 |
|     133_30 |      0 |      2 |      3 |      3 |      1 |      3 |      3 |      2 |      2 |      2 |      2 |      2 |      0 |      4 |      1 |
|     133_33 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     133_35 |      0 |      2 |      3 |      3 |      2 |      3 |      3 |      2 |      1 |      2 |      2 |      0 |      0 |      3 |      2 |
|     133_40 |      0 |      2 |      4 |      3 |      2 |      3 |      2 |      2 |      3 |      2 |      2 |      1 |      0 |      3 |      0 |
|     133_45 |      0 |      1 |      3 |      2 |      2 |      4 |      3 |      1 |      2 |      2 |      2 |      0 |      0 |      2 |      1 |
|     133_50 |      0 |      1 |      3 |      3 |      2 |      3 |      1 |      1 |      2 |      2 |      2 |      0 |      0 |      1 |      0 |
|     133_55 |      0 |      1 |      2 |      2 |      2 |      3 |      1 |      1 |      2 |      2 |      2 |      0 |      0 |      1 |      0 |
|     133_60 |      0 |      1 |      4 |      2 |      2 |      3 |      1 |      2 |      2 |      2 |      2 |      0 |      0 |      0 |      0 |
|     137_23 |      0 |      0 |      0 |      2 |      0 |      2 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     137_25 |      0 |      0 |      1 |      1 |      1 |      0 |      0 |      1 |      1 |      2 |      3 |      2 |      0 |      3 |      0 |
|     137_30 |      0 |      0 |      1 |      3 |      1 |      2 |      1 |      2 |      1 |      2 |      2 |      0 |      0 |      4 |      1 |
|     137_33 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     137_35 |      0 |      0 |      0 |      3 |      1 |      2 |      1 |      2 |      1 |      2 |      2 |      0 |      0 |      3 |      1 |
|     137_40 |      0 |      0 |      2 |      3 |      1 |      2 |      1 |      2 |      1 |      2 |      2 |      0 |      0 |      4 |      0 |
|     137_45 |      0 |      0 |      1 |      2 |      1 |      2 |      1 |      2 |      1 |      2 |      2 |      0 |      0 |      2 |      0 |
|     137_50 |      0 |      0 |      1 |      1 |      1 |      2 |      1 |      1 |      2 |      2 |      2 |      0 |      0 |      2 |      0 |
|     137_55 |      0 |      0 |      1 |      1 |      1 |      2 |      1 |      1 |      2 |      2 |      2 |      0 |      0 |      1 |      0 |
|     137_60 |      0 |      0 |      1 |      1 |      2 |      2 |      1 |      1 |      2 |      2 |      2 |      0 |      0 |      0 |      0 |
|     138_30 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      4 |      2 |      3 |      3 |      2 |      0 |      4 |      2 |
|     140_30 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|     140_35 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|      97_30 |      0 |      0 |      0 |      0 |      1 |      1 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |
|      97_35 |      0 |      0 |      0 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|      97_40 |      0 |      0 |      0 |      0 |      1 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|      97_45 |      0 |      0 |      0 |      0 |      1 |      1 |      0 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|      97_50 |      0 |      0 |      0 |      0 |      1 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|      97_55 |      0 |      0 |      0 |      0 |      1 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|      97_60 |      0 |      0 |      0 |      0 |      1 |      1 |      1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      1 |
